SEAS,YR,ANOM_seas,3mo_avg,diff
AMJ,1966,0.31,0.3133333333333333,-0.0033333333333332993
MJJ,1966,0.22,0.21666666666666667,0.003333333333333327
JJA,1966,0.32,0.32,0.0
JAS,1966,0.19,0.18666666666666668,0.003333333333333327
ASO,1966,0.0,0.003333333333333334,-0.003333333333333334
SON,1966,-0.03,-0.03,0.0
OND,1966,-0.12,-0.12,0.0
NDJ,1966,-0.22,-0.2233333333333333,0.0033333333333332993
DJF,1967,-0.26,-0.26,0.0
JFM,1967,-0.24,-0.23666666666666666,-0.003333333333333327
FMA,1967,-0.35,-0.35000000000000003,5.551115123125783e-17
MAM,1967,-0.31,-0.31000000000000005,5.551115123125783e-17
AMJ,1967,-0.09,-0.09333333333333334,0.003333333333333341
MJJ,1967,0.21,0.21,0.0
JJA,1967,0.25,0.24666666666666667,0.003333333333333327
JAS,1967,-0.01,-0.010000000000000009,8.673617379884035e-18
ASO,1967,-0.11,-0.11333333333333334,0.003333333333333341
SON,1967,-0.08,-0.08,0.0
OND,1967,0.01,0.016666666666666666,-0.006666666666666666
NDJ,1967,-0.03,-0.02666666666666667,-0.0033333333333333305
DJF,1968,-0.23,-0.22999999999999998,-2.7755575615628914e-17
JFM,1968,-0.36,-0.36000000000000004,5.551115123125783e-17
FMA,1968,-0.32,-0.3233333333333333,0.0033333333333332993
MAM,1968,-0.26,-0.25666666666666665,-0.003333333333333355
AMJ,1968,0.07,0.0733333333333333,-0.0033333333333332993
MJJ,1968,0.32,0.32,0.0
JJA,1968,0.56,0.5666666666666667,-0.006666666666666599
JAS,1968,0.46,0.4633333333333334,-0.003333333333333355
ASO,1968,0.39,0.3933333333333333,-0.0033333333333332993
SON,1968,0.56,0.5633333333333334,-0.0033333333333332993
OND,1968,0.74,0.7433333333333333,-0.0033333333333332993
NDJ,1968,1.02,1.0166666666666666,0.0033333333333334103
DJF,1969,1.07,1.07,0.0
JFM,1969,1.0,1.0,0.0
FMA,1969,0.67,0.6633333333333332,0.006666666666666821
MAM,1969,0.44,0.43999999999999995,5.551115123125783e-17
AMJ,1969,0.37,0.3633333333333333,0.00666666666666671
MJJ,1969,0.3,0.3033333333333333,-0.0033333333333332993
JJA,1969,0.28,0.2833333333333333,-0.0033333333333332993
JAS,1969,0.34,0.3466666666666667,-0.006666666666666654
ASO,1969,0.57,0.5733333333333334,-0.0033333333333334103
SON,1969,0.67,0.6766666666666667,-0.00666666666666671
OND,1969,0.81,0.8133333333333334,-0.0033333333333332993
NDJ,1969,0.68,0.6833333333333332,-0.0033333333333331883
DJF,1970,0.46,0.4666666666666666,-0.006666666666666599
JFM,1970,0.21,0.21666666666666667,-0.006666666666666682
FMA,1970,0.24,0.24,0.0
MAM,1970,0.24,0.2433333333333333,-0.0033333333333332993
AMJ,1970,0.12,0.12333333333333331,-0.003333333333333313
MJJ,1970,-0.23,-0.2333333333333333,0.0033333333333332993
JJA,1970,-0.47,-0.47333333333333333,0.003333333333333355
JAS,1970,-0.64,-0.6433333333333334,0.0033333333333334103
ASO,1970,-0.55,-0.5533333333333333,0.0033333333333332993
SON,1970,-0.57,-0.57,0.0
OND,1970,-0.55,-0.5466666666666666,-0.0033333333333334103
NDJ,1970,-0.85,-0.8533333333333334,0.0033333333333334103
DJF,1971,-0.95,-0.9500000000000001,1.1102230246251565e-16
JFM,1971,-1.0,-1.0033333333333332,0.0033333333333331883
