Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2006,1.2563101385015985,1.2839983222720266,1.3317562806701508,1.3655704115297795,1.3841914237278714,1.6412037230268377,1.1709013667900783,1.1866193889098453,1.1945022643425014,1.2098494893765885,1.2234296396398707,1.2222093818183724
2007,1.2304133153757597,1.1625762937366608,1.3944077022642245,1.3852469875498739,1.353988067767429,1.2763197972819702,1.1951708793814058,1.1970795235044487,1.208174272449159,1.2153408708655846,1.2295052636107329,1.2364540722255095
2008,1.252265846873195,1.2811011264765992,1.321078746357077,1.3614560563033296,1.3493681528443846,1.3200945847321561,1.2510766579392172,1.1859720213964466,1.2063939866836195,1.218158642940269,1.227685811184381,1.2393811262944359
2009,1.2559969123068528,1.291323248701792,1.3366948451881016,1.3614498372496089,2.040348692403487,1.1918570860249682,1.1643968958012094,1.176061013907582,1.192924347669297,1.2049634412280326,1.2200882506810022,1.2304547052338093
2010,1.246048085312865,1.2725603852057887,1.2890092238694644,1.346019357654489,1.2842935203300097,1.2372763795785235,1.194207461547729,1.18852237162917,1.1980839050776635,1.2103828919148996,1.2266018288735823,1.2325460952390581
2011,1.2510604231654903,1.2808812881732372,1.3311109269226438,1.3660011061694086,1.348693058237458,1.3086705016568878,1.1961633029832586,1.1969956788381864,1.2006608513204486,1.2203066739306698,1.223230068354498,1.2340241157635106
2012,1.2561703928432517,1.2801857908523506,1.3480474334317245,1.3706648297154522,1.4365164852921548,0.37376170334109593,1.1601366115333038,1.1662879008658376,1.1873626481245716,1.1917270044234058,1.5319109148756571,1.241996209728364
2013,1.2601920278296137,1.288695367189409,1.3258523041034669,1.3622212511662513,1.33967655043918,1.282951669337448,1.2159674270878298,1.192138791043526,1.2102457189024354,1.2298481660506115,1.2217285818496204,1.2424649574750073
2014,1.267525862844463,1.2686567937187845,1.2805835992965544,1.2894922227273744,1.302866609603225,-0.0,1.2066996196885174,1.1717678611338749,1.1913380041658777,1.201768261667798,1.2168463158497975,1.2145607444974744
2015,1.2293389029044852,1.2658778483472866,1.3283963016351763,1.3476108469348411,1.307374443488713,1.239987046121527,1.1866257330507266,1.1777914488687475,1.1908639536703185,1.2079664832283727,1.220038406811178,1.2285918219412824
2016,1.2482853182082168,1.2727604470535534,1.308357408448974,1.335247468890073,1.7423753409861937,1.2048346480258236,1.1931545090423594,1.1971260401867263,1.2076964059322057,1.2172064257753301,1.2274764271923586,1.2381009727216927
2017,1.2472307576412376,1.280052085452696,1.3414809023582428,1.3976789237030582,1.6782586427656851,1.3728710149038759,1.208997734123828,1.1976049141171623,1.203209065256472,1.219650298730749,1.2281342989825907,1.2323580623057113
2018,1.254057131551399,1.2880105574470633,1.326241942737221,1.369810446280491,1.4055407612006987,2.5736136791295086,1.114883708567024,1.156055437394057,1.2104806719732617,1.1977882126937764,1.217404233428511,1.227149297369424
2019,1.2466082805146128,1.283507305398689,1.304217977626162,1.33887640232885,1.3225815307555604,1.2552451384639944,1.2736514363220424,1.2083230155630813,0.9548133309051174,1.194767786336083,1.2196689118907749,1.2068529336881495
2020,1.2231144290213463,1.2797500488185902,1.0524349280695875,1.3430104478682454,1.2947707781419784,1.2741787938045273,1.2120618838936805,1.1962237916160015,1.1978894816802945,1.218518748063217,1.2215509630882657,1.2334406540795912
2021,1.2498753724918878,1.2844451149715634,1.326773343205873,1.3671668367670828,1.3492888258113351,1.2714644641038806,1.188267394613679,1.1903521635177914,1.2044349544050899,1.21115139346787,1.2264625194547942,1.231696252971896
2022,1.2584004035604446,1.2863737638094355,1.3329564770278413,1.3599750212559505,1.3399390702090603,1.2786636772835407,1.1983619547113646,1.1858265981073193,1.2031539168741074,1.2123013364985897,1.2222006620502244,1.232906770421361
2023,1.2526269955114595,1.2796018395777204,1.3226539458294155,1.3683603401341453,2.065820390740433,1.1949357087234813,1.1744591741210013,1.1872475112054282,1.1914100236202063,1.2120498211021247,1.215912372438911,1.2259383370179986
2024,1.237438284261747,1.2650680723506538,1.2860052249817984,1.240355657196931,1.308158190210837,1.2656578914428156,1.2045364266356586,1.1858413742129095,1.2018604438980274,1.2142706919670068,1.2294374213903516,1.2452260510860904
2025,1.257213196829773,1.2822182985461406,1.3386042073392461,1.3704893235488376,1.3727112591547452,1.2705734096263883,1.21599818978928,1.198374118965771,1.2031168770036276,1.2163868053499738,1.234231247197489,1.2429418245755874
2026,1.2585667016340283,1.2852268490146115,1.3174996335308777,1.4311448784149596,1.3049520232848346,1.2372813965577505,1.1977384745890831,,,,,
